

Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2024 to 30 June 2025																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
100% REEF SAFE																
948918	04 Nov 2024	Receivable Invoice	NOVEMBER ORDER -GLENN		PB280910100 - SV04:  L/D POLY BAG 280MM X 910MM X 100UM  500/CTN  $/1000 (UOM = THOU)	1.0000	254.2000	0.00	25.42	279.62	1,216.33	0.00	5104		4030	Sales - Manufactured Finished Goods
948918	04 Nov 2024	Receivable Invoice	NOVEMBER ORDER -GLENN		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	2.0000	94.5000	0.00	18.90	207.90	1,216.33	0.00	5104		4020	Sales - Imported Finished Goods
948918	04 Nov 2024	Receivable Invoice	NOVEMBER ORDER -GLENN		**LET GLENN KNOW WHEN ORDER IS READY***	1.0000	0.0000	0.00	0.00	0.00	1,216.33	0.00	5104			
948918	04 Nov 2024	Receivable Invoice	NOVEMBER ORDER -GLENN		T200100(10kg) - L/D NATURAL POLYTUBE 200MM X 270M X 100UM  10kg/ROLL  $PER kg (UOM = kg)   - (Customer Part # .)	20.0000	6.0000	0.00	12.00	132.00	1,216.33	0.00	5104		4030	Sales - Manufactured Finished Goods
949333	17 Jan 2025	Receivable Invoice	JAN ORDER -2025		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	1.0000	94.5000	0.00	9.45	103.95	549.89	0.00	5104		4030	Sales - Manufactured Finished Goods
949333	17 Jan 2025	Receivable Invoice	JAN ORDER -2025		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	4.0000	86.3500	0.00	34.54	379.94	549.89	0.00	5104		4040	Sales - Purchased Finished Goods
949333	17 Jan 2025	Receivable Invoice	JAN ORDER -2025		T200100(10kg) - L/D NATURAL POLYTUBE 200MM X 270M X 100UM  10kg/ROLL  $PER kg (UOM = kg)   - (Customer Part # .)	10.0000	6.0000	0.00	6.00	66.00	549.89	0.00	5104		4030	Sales - Manufactured Finished Goods
949333	17 Jan 2025	Receivable Invoice	JAN ORDER -2025		**LET GLENN KNOW WHEN ORDER IS READY FOR COLLECTION***	1.0000	0.0000	0.00	0.00	0.00	549.89	0.00	5104			
949585	05 Mar 2025	Receivable Invoice	MARCH ORDER		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	1.0000	94.5000	0.00	9.45	103.95	492.86	0.00	5104		4030	Sales - Manufactured Finished Goods
949585	05 Mar 2025	Receivable Invoice	MARCH ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	3.0000	86.3500	0.00	25.91	284.96	492.86	0.00	5104		4040	Sales - Purchased Finished Goods
949585	05 Mar 2025	Receivable Invoice	MARCH ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	1.0000	94.5000	0.00	9.45	103.95	492.86	0.00	5104		4020	Sales - Imported Finished Goods
