Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2025 to 30 June 2026																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
A1 COATERS																
950888-02	18 Mar 2026	Receivable Invoice	PO085974		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.7500	0.00	115.00	1,265.00	1,265.00	1,265.00	5103		4030	Sales - Manufactured Finished Goods
951217-03	18 Mar 2026	Receivable Invoice	PO089519		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	100.0000	5.7500	0.00	57.50	632.50	632.50	632.50	5103		4030	Sales - Manufactured Finished Goods
951508-02	18 Mar 2026	Receivable Invoice	PO092823		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.7500	0.00	115.00	1,265.00	1,423.13	1,265.00	5103		4030	Sales - Manufactured Finished Goods
951508-02	18 Mar 2026	Receivable Invoice	PO092823		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	25.0000	5.7500	0.00	14.38	158.13	1,423.13	158.13	5103		4030	Sales - Manufactured Finished Goods
951508-02	18 Mar 2026	Receivable Invoice	PO092823		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,423.13	0.00	5103			
951217-04	18 Mar 2026	Receivable Invoice	PO089519		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	100.0000	5.7500	0.00	57.50	632.50	632.50	632.50	5103		4030	Sales - Manufactured Finished Goods
951660	31 Mar 2026	Receivable Invoice	PO093924		T350150Y(15KG) - L/D YELLOW TUBE 350 X 150UM, 15KG/ROLL, $/KG (UOM = kg)	105.0000	5.3000	0.00	55.65	612.15	612.15	612.15	5103		4030	Sales - Manufactured Finished Goods
951660	31 Mar 2026	Receivable Invoice	PO093924		W/O4/3/26DF/P/S12/03/26/LABELS16/03/26DF*	1.0000	0.0000	0.00	0.00	0.00	612.15	0.00	5103			
Total ABL - As SIGNET						1,582.3000		0.00	1,268.88	13,957.62		9,973.43				
		
